model,scope,fold,task,endpoint,metric,value,n,positives_true,positives_predicted
ecfp4_random_forest,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.6611613096146386,22,,
ecfp4_random_forest,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.691049259089338,31,,
ecfp4_random_forest,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9352113610703893,25,,
ecfp4_random_forest,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8985807536033438,86,,
endpoint_mean,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.0,25,5.0,0.0
endpoint_mean,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.0,109,30.0,0.0
endpoint_mean,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9439841444918756,22,,
endpoint_mean,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.2300134126929823,31,,
endpoint_mean,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0,25,,
endpoint_mean,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.213929097237982,86,,
endpoint_median,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.0,25,5.0,0.0
endpoint_median,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.0,109,30.0,0.0
endpoint_median,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9019340529975785,22,,
endpoint_median,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.141483888672531,31,,
endpoint_median,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0024008692710675,25,,
endpoint_median,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1008973657254437,86,,
ecfp4_knn,fold,0.0,regression,MA,MA-ST-RAE,1.0836119375338171,183,,
ecfp4_knn,fold,1.0,regression,MA,MA-ST-RAE,1.1077124055321625,187,,
ecfp4_knn,fold,2.0,regression,MA,MA-ST-RAE,0.9855619886255208,182,,
ecfp4_knn,fold,3.0,regression,MA,MA-ST-RAE,0.9838598450979992,182,,
ecfp4_knn,fold,4.0,regression,MA,MA-ST-RAE,0.9019498368729534,164,,
ecfp4_knn,pooled,,regression,MA,MA-ST-RAE,0.9924871931964889,898,,
ecfp4_lightgbm,fold,0.0,regression,MA,MA-ST-RAE,0.882247777406782,183,,
ecfp4_lightgbm,fold,1.0,regression,MA,MA-ST-RAE,0.7556501323895232,187,,
ecfp4_lightgbm,fold,2.0,regression,MA,MA-ST-RAE,0.8170930543064542,182,,
ecfp4_lightgbm,fold,3.0,regression,MA,MA-ST-RAE,0.8734156993834244,182,,
ecfp4_lightgbm,fold,4.0,regression,MA,MA-ST-RAE,0.6874487474764068,164,,
ecfp4_lightgbm,pooled,,regression,MA,MA-ST-RAE,0.799834117171593,898,,
ecfp4_random_forest,fold,0.0,regression,MA,MA-ST-RAE,0.8752212913285382,183,,
ecfp4_random_forest,fold,1.0,regression,MA,MA-ST-RAE,0.8042448992797635,187,,
ecfp4_random_forest,fold,2.0,regression,MA,MA-ST-RAE,0.9014410927979023,182,,
ecfp4_random_forest,fold,3.0,regression,MA,MA-ST-RAE,0.9541532303205855,182,,
ecfp4_random_forest,fold,4.0,regression,MA,MA-ST-RAE,0.7965006708444274,164,,
ecfp4_random_forest,pooled,,regression,MA,MA-ST-RAE,0.8635344836835929,898,,
endpoint_mean,fold,0.0,regression,MA,MA-ST-RAE,1.0498086063267926,183,,
endpoint_mean,fold,1.0,regression,MA,MA-ST-RAE,1.0748564494221196,187,,
endpoint_mean,fold,2.0,regression,MA,MA-ST-RAE,1.1562450411381033,182,,
endpoint_mean,fold,3.0,regression,MA,MA-ST-RAE,1.1006209284047408,182,,
endpoint_mean,fold,4.0,regression,MA,MA-ST-RAE,1.09698166360571,164,,
endpoint_mean,pooled,,regression,MA,MA-ST-RAE,1.0777788438687743,898,,
endpoint_median,fold,0.0,regression,MA,MA-ST-RAE,1.0148432596831196,183,,
endpoint_median,fold,1.0,regression,MA,MA-ST-RAE,1.0273567404017732,187,,
endpoint_median,fold,2.0,regression,MA,MA-ST-RAE,1.1260037657571471,182,,
endpoint_median,fold,3.0,regression,MA,MA-ST-RAE,1.0503175104757876,182,,
endpoint_median,fold,4.0,regression,MA,MA-ST-RAE,1.0366790441666551,164,,
endpoint_median,pooled,,regression,MA,MA-ST-RAE,1.0366769761564494,898,,
