split_scheme,model,fold,endpoint,seconds,n_train,n_test
random,ecfp4_random_forest,2,CYP3A4_is_TDI,1.9347871269997086,3492,92
random,ecfp4_lightgbm,2,CYP3A4_is_TDI,0.8454242590000831,3492,92
random,endpoint_mean,2,CYP2D6_is_TDI,0.0007056750000629108,1461,36
random,endpoint_median,2,CYP2D6_is_TDI,0.00031996300003811484,1461,36
random,ecfp4_knn,2,CYP2D6_is_TDI,0.009879026999897178,1461,36
random,ecfp4_random_forest,2,CYP2D6_is_TDI,0.9375820440000098,1461,36
random,ecfp4_lightgbm,2,CYP2D6_is_TDI,0.525865203000194,1461,36
random,endpoint_mean,3,CYP1A2_pIC50_direct_inhibition,0.0006513729999824136,1373,39
random,endpoint_median,3,CYP1A2_pIC50_direct_inhibition,0.0003678449998005817,1373,39
random,ecfp4_knn,3,CYP1A2_pIC50_direct_inhibition,0.009171458999844617,1373,39
random,ecfp4_random_forest,3,CYP1A2_pIC50_direct_inhibition,0.6196791479997046,1373,39
random,ecfp4_lightgbm,3,CYP1A2_pIC50_direct_inhibition,0.7460716669997964,1373,39
random,endpoint_mean,3,CYP2C9_pIC50_direct_inhibition,0.0006377529998644604,1246,39
random,endpoint_median,3,CYP2C9_pIC50_direct_inhibition,0.00028696300023511867,1246,39
random,ecfp4_knn,3,CYP2C9_pIC50_direct_inhibition,0.008796644000085507,1246,39
random,ecfp4_random_forest,3,CYP2C9_pIC50_direct_inhibition,0.7225804049999169,1246,39
random,ecfp4_lightgbm,3,CYP2C9_pIC50_direct_inhibition,0.37141824799982714,1246,39
random,endpoint_mean,3,CYP2D6_pIC50_direct_inhibition,0.0009425930002180394,1460,33
random,endpoint_median,3,CYP2D6_pIC50_direct_inhibition,0.0005225180002526031,1460,33
random,ecfp4_knn,3,CYP2D6_pIC50_direct_inhibition,0.00942839700019249,1460,33
random,ecfp4_random_forest,3,CYP2D6_pIC50_direct_inhibition,0.8465763169997444,1460,33
random,ecfp4_lightgbm,3,CYP2D6_pIC50_direct_inhibition,0.6814366599996902,1460,33
random,endpoint_mean,3,CYP3A4_pIC50_direct_inhibition,0.000994891000118514,2246,89
random,endpoint_median,3,CYP3A4_pIC50_direct_inhibition,0.001148472999830119,2246,89
random,ecfp4_knn,3,CYP3A4_pIC50_direct_inhibition,0.034414358000049106,2246,89
random,ecfp4_random_forest,3,CYP3A4_pIC50_direct_inhibition,1.0727233020002132,2246,89
random,ecfp4_lightgbm,3,CYP3A4_pIC50_direct_inhibition,0.5150570399996468,2246,89
random,endpoint_mean,3,CYP3A4_is_TDI,0.0014729530003023683,3489,95
random,endpoint_median,3,CYP3A4_is_TDI,0.0012954349999745318,3489,95
random,ecfp4_knn,3,CYP3A4_is_TDI,0.050855219999903056,3489,95
random,ecfp4_random_forest,3,CYP3A4_is_TDI,2.0942484610000065,3489,95
random,ecfp4_lightgbm,3,CYP3A4_is_TDI,0.865195090999805,3489,95
random,endpoint_mean,3,CYP2D6_is_TDI,0.0007213089998003852,1464,33
random,endpoint_median,3,CYP2D6_is_TDI,0.00031964199979483965,1464,33
random,ecfp4_knn,3,CYP2D6_is_TDI,0.008516339999914635,1464,33
random,ecfp4_random_forest,3,CYP2D6_is_TDI,1.0426959199999146,1464,33
random,ecfp4_lightgbm,3,CYP2D6_is_TDI,0.3659415929996612,1464,33
random,endpoint_mean,4,CYP1A2_pIC50_direct_inhibition,0.0011994299998150382,1383,29
random,endpoint_median,4,CYP1A2_pIC50_direct_inhibition,0.0004958780000379193,1383,29
random,ecfp4_knn,4,CYP1A2_pIC50_direct_inhibition,0.008043585999985225,1383,29
random,ecfp4_random_forest,4,CYP1A2_pIC50_direct_inhibition,1.889568785999927,1383,29
random,ecfp4_lightgbm,4,CYP1A2_pIC50_direct_inhibition,0.8740355129998534,1383,29
random,endpoint_mean,4,CYP2C9_pIC50_direct_inhibition,0.0013420750001387205,1255,30
random,endpoint_median,4,CYP2C9_pIC50_direct_inhibition,0.0005409860000327171,1255,30
random,ecfp4_knn,4,CYP2C9_pIC50_direct_inhibition,0.008312072000080661,1255,30
random,ecfp4_random_forest,4,CYP2C9_pIC50_direct_inhibition,0.6638444639997942,1255,30
random,ecfp4_lightgbm,4,CYP2C9_pIC50_direct_inhibition,0.3787458400001924,1255,30
random,endpoint_mean,4,CYP2D6_pIC50_direct_inhibition,0.0010608760003378848,1461,32
random,endpoint_median,4,CYP2D6_pIC50_direct_inhibition,0.0006230300000424904,1461,32
random,ecfp4_knn,4,CYP2D6_pIC50_direct_inhibition,0.009425038999779645,1461,32
random,ecfp4_random_forest,4,CYP2D6_pIC50_direct_inhibition,0.7409838919998037,1461,32
random,ecfp4_lightgbm,4,CYP2D6_pIC50_direct_inhibition,0.3562095919996864,1461,32
random,endpoint_mean,4,CYP3A4_pIC50_direct_inhibition,0.0009919369999806804,2256,79
random,endpoint_median,4,CYP3A4_pIC50_direct_inhibition,0.0006250829997043184,2256,79
random,ecfp4_knn,4,CYP3A4_pIC50_direct_inhibition,0.0385948550001558,2256,79
random,ecfp4_random_forest,4,CYP3A4_pIC50_direct_inhibition,1.0416350959999363,2256,79
random,ecfp4_lightgbm,4,CYP3A4_pIC50_direct_inhibition,0.4953621050003676,2256,79
random,endpoint_mean,4,CYP3A4_is_TDI,0.0015203129996734788,3489,95
random,endpoint_median,4,CYP3A4_is_TDI,0.0011057780002374784,3489,95
random,ecfp4_knn,4,CYP3A4_is_TDI,0.17741598300017358,3489,95
random,ecfp4_random_forest,4,CYP3A4_is_TDI,2.2065430630000265,3489,95
random,ecfp4_lightgbm,4,CYP3A4_is_TDI,0.6708245229997374,3489,95
random,endpoint_mean,4,CYP2D6_is_TDI,0.0007330560001719277,1465,32
random,endpoint_median,4,CYP2D6_is_TDI,0.00036092499976803083,1465,32
random,ecfp4_knn,4,CYP2D6_is_TDI,0.008339683000031073,1465,32
random,ecfp4_random_forest,4,CYP2D6_is_TDI,0.9651621190000697,1465,32
random,ecfp4_lightgbm,4,CYP2D6_is_TDI,0.34101813300003414,1465,32
murcko_scaffold,endpoint_mean,0,CYP1A2_pIC50_direct_inhibition,0.0006761699996786774,1383,29
murcko_scaffold,endpoint_median,0,CYP1A2_pIC50_direct_inhibition,0.00032465000003867317,1383,29
murcko_scaffold,ecfp4_knn,0,CYP1A2_pIC50_direct_inhibition,0.007250931000271521,1383,29
murcko_scaffold,ecfp4_random_forest,0,CYP1A2_pIC50_direct_inhibition,0.6609374970003046,1383,29
murcko_scaffold,ecfp4_lightgbm,0,CYP1A2_pIC50_direct_inhibition,0.37005190199988647,1383,29
murcko_scaffold,endpoint_mean,0,CYP2C9_pIC50_direct_inhibition,0.0006616690002374526,1257,28
murcko_scaffold,endpoint_median,0,CYP2C9_pIC50_direct_inhibition,0.000451771999905759,1257,28
murcko_scaffold,ecfp4_knn,0,CYP2C9_pIC50_direct_inhibition,0.00795320899987928,1257,28
murcko_scaffold,ecfp4_random_forest,0,CYP2C9_pIC50_direct_inhibition,0.7782177300000512,1257,28
murcko_scaffold,ecfp4_lightgbm,0,CYP2C9_pIC50_direct_inhibition,0.3410254890000033,1257,28
murcko_scaffold,endpoint_mean,0,CYP2D6_pIC50_direct_inhibition,0.0007111329996405402,1460,33
murcko_scaffold,endpoint_median,0,CYP2D6_pIC50_direct_inhibition,0.00039624800001547555,1460,33
murcko_scaffold,ecfp4_knn,0,CYP2D6_pIC50_direct_inhibition,0.009344998999949894,1460,33
murcko_scaffold,ecfp4_random_forest,0,CYP2D6_pIC50_direct_inhibition,0.81332989800012,1460,33
murcko_scaffold,ecfp4_lightgbm,0,CYP2D6_pIC50_direct_inhibition,0.3582814179999332,1460,33
murcko_scaffold,endpoint_mean,0,CYP3A4_pIC50_direct_inhibition,0.0010966849999931583,2260,75
murcko_scaffold,endpoint_median,0,CYP3A4_pIC50_direct_inhibition,0.0006825599998592224,2260,75
