split_scheme,model,scope,fold,task,endpoint,metric,value,n,positives_true,positives_predicted
random,ecfp4_lightgbm,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.6416647562720791,70,,
random,ecfp4_random_forest,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.420883424647321,36,5.0,1.0
random,ecfp4_random_forest,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.3820975765939022,92,20.0,19.0
random,ecfp4_random_forest,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8328701679348011,25,,
random,ecfp4_random_forest,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0271960786508099,31,,
random,ecfp4_random_forest,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.8792665685696434,36,,
random,ecfp4_random_forest,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8568702196450441,70,,
random,endpoint_mean,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.0,36,5.0,0.0
random,endpoint_mean,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.0,92,20.0,0.0
random,endpoint_mean,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.989354161237317,25,,
random,endpoint_mean,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.1891948402551495,31,,
random,endpoint_mean,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0296091858900676,36,,
random,endpoint_mean,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.3252158901570013,70,,
random,endpoint_median,fold,2.0,classification,CYP2D6_is_TDI,MCC,0.0,36,5.0,0.0
random,endpoint_median,fold,2.0,classification,CYP3A4_is_TDI,MCC,0.0,92,20.0,0.0
random,endpoint_median,fold,2.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9195714361810013,25,,
random,endpoint_median,fold,2.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.1454157377915204,31,,
random,endpoint_median,fold,2.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0513916687534668,36,,
random,endpoint_median,fold,2.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1776121120852663,70,,
random,ecfp4_knn,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.0,33,5.0,0.0
random,ecfp4_knn,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.1960716229754785,95,35.0,27.0
random,ecfp4_knn,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0061293216354126,39,,
random,ecfp4_knn,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.9548815946853164,39,,
random,ecfp4_knn,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9992511250239373,33,,
random,ecfp4_knn,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.9194877184114963,89,,
random,ecfp4_lightgbm,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.23904572186687875,33,5.0,6.0
random,ecfp4_lightgbm,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.2326210525996177,95,35.0,40.0
random,ecfp4_lightgbm,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.744815760388568,39,,
random,ecfp4_lightgbm,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.685166548902344,39,,
random,ecfp4_lightgbm,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0525451969431372,33,,
random,ecfp4_lightgbm,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.5864670157504971,89,,
random,ecfp4_random_forest,fold,3.0,classification,CYP2D6_is_TDI,MCC,-0.0747017880833996,33,5.0,1.0
random,ecfp4_random_forest,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.21638563370731523,95,35.0,26.0
random,ecfp4_random_forest,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7980898597990443,39,,
random,ecfp4_random_forest,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.850650291937734,39,,
random,ecfp4_random_forest,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0410198600856564,33,,
random,ecfp4_random_forest,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8088720286127932,89,,
random,endpoint_mean,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.0,33,5.0,0.0
random,endpoint_mean,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.0,95,35.0,0.0
random,endpoint_mean,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,1.0449245278583625,39,,
random,endpoint_mean,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.1085087008516874,39,,
random,endpoint_mean,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.2176137961021576,33,,
random,endpoint_mean,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1973172201466724,89,,
random,endpoint_median,fold,3.0,classification,CYP2D6_is_TDI,MCC,0.0,33,5.0,0.0
random,endpoint_median,fold,3.0,classification,CYP3A4_is_TDI,MCC,0.0,95,35.0,0.0
random,endpoint_median,fold,3.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9954425798011721,39,,
random,endpoint_median,fold,3.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0778773601624307,39,,
random,endpoint_median,fold,3.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.2787605834234086,33,,
random,endpoint_median,fold,3.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0960771957315214,89,,
random,ecfp4_knn,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.2342878320018382,32,5.0,6.0
random,ecfp4_knn,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.4392885515884294,95,27.0,24.0
random,ecfp4_knn,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9822569764957488,29,,
random,ecfp4_knn,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0161449568479128,30,,
random,ecfp4_knn,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.944768924792217,32,,
random,ecfp4_knn,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.8674183655687978,79,,
random,ecfp4_lightgbm,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.4547940268270977,32,5.0,6.0
random,ecfp4_lightgbm,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.4715818074033158,95,27.0,33.0
random,ecfp4_lightgbm,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.8066093487576548,29,,
random,ecfp4_lightgbm,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.7647457795929086,30,,
random,ecfp4_lightgbm,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.9086858389995829,32,,
random,ecfp4_lightgbm,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.5996002381331887,79,,
random,ecfp4_random_forest,fold,4.0,classification,CYP2D6_is_TDI,MCC,-0.07728981596002805,32,5.0,1.0
random,ecfp4_random_forest,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.533287375470863,95,27.0,20.0
random,ecfp4_random_forest,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.7568414385278598,29,,
random,ecfp4_random_forest,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,0.8077290725569131,30,,
random,ecfp4_random_forest,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,0.891650744231576,32,,
random,ecfp4_random_forest,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.75365532350738,79,,
random,endpoint_mean,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.0,32,5.0,0.0
random,endpoint_mean,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.0,95,27.0,0.0
random,endpoint_mean,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9240368708586739,29,,
random,endpoint_mean,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0891311879196715,30,,
random,endpoint_mean,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0240807163095589,32,,
random,endpoint_mean,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.1600340299004708,79,,
random,endpoint_median,fold,4.0,classification,CYP2D6_is_TDI,MCC,0.0,32,5.0,0.0
random,endpoint_median,fold,4.0,classification,CYP3A4_is_TDI,MCC,0.0,95,27.0,0.0
random,endpoint_median,fold,4.0,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9429383674072803,29,,
random,endpoint_median,fold,4.0,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.0394703829571605,30,,
random,endpoint_median,fold,4.0,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0483016848161164,32,,
random,endpoint_median,fold,4.0,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,1.0586702889373756,79,,
random,ecfp4_knn,fold,0.0,regression,MA,MA-ST-RAE,0.9183642194554978,183,,
random,ecfp4_knn,fold,1.0,regression,MA,MA-ST-RAE,1.2504745914498632,183,,
random,ecfp4_knn,fold,2.0,regression,MA,MA-ST-RAE,1.029537439420888,162,,
random,ecfp4_knn,fold,3.0,regression,MA,MA-ST-RAE,0.9699374399390407,200,,
random,ecfp4_knn,fold,4.0,regression,MA,MA-ST-RAE,0.9526473059261691,170,,
random,ecfp4_knn,pooled,,regression,MA,MA-ST-RAE,0.9926389056895438,898,,
random,ecfp4_lightgbm,fold,0.0,regression,MA,MA-ST-RAE,0.7707087972296469,183,,
random,ecfp4_lightgbm,fold,1.0,regression,MA,MA-ST-RAE,0.8936824797552276,183,,
random,ecfp4_lightgbm,fold,2.0,regression,MA,MA-ST-RAE,0.8356183358510021,162,,
random,ecfp4_lightgbm,fold,3.0,regression,MA,MA-ST-RAE,0.7672486304961366,200,,
random,ecfp4_lightgbm,fold,4.0,regression,MA,MA-ST-RAE,0.7699103013708338,170,,
random,ecfp4_lightgbm,pooled,,regression,MA,MA-ST-RAE,0.7828516490844958,898,,
random,ecfp4_random_forest,fold,0.0,regression,MA,MA-ST-RAE,0.799694195832182,183,,
random,ecfp4_random_forest,fold,1.0,regression,MA,MA-ST-RAE,0.9312888398405682,183,,
random,ecfp4_random_forest,fold,2.0,regression,MA,MA-ST-RAE,0.8990507587000746,162,,
random,ecfp4_random_forest,fold,3.0,regression,MA,MA-ST-RAE,0.874658010108807,200,,
random,ecfp4_random_forest,fold,4.0,regression,MA,MA-ST-RAE,0.8024691447059322,170,,
random,ecfp4_random_forest,pooled,,regression,MA,MA-ST-RAE,0.843227140485853,898,,
random,endpoint_mean,fold,0.0,regression,MA,MA-ST-RAE,1.0516811904851942,183,,
random,endpoint_mean,fold,1.0,regression,MA,MA-ST-RAE,1.0691726714253789,183,,
random,endpoint_mean,fold,2.0,regression,MA,MA-ST-RAE,1.1333435193848838,162,,
random,endpoint_mean,fold,3.0,regression,MA,MA-ST-RAE,1.14209106123972,200,,
random,endpoint_mean,fold,4.0,regression,MA,MA-ST-RAE,1.0493207012470938,170,,
random,endpoint_mean,pooled,,regression,MA,MA-ST-RAE,1.077366957852278,898,,
random,endpoint_median,fold,0.0,regression,MA,MA-ST-RAE,1.0066851109596526,183,,
random,endpoint_median,fold,1.0,regression,MA,MA-ST-RAE,1.0209408311503723,183,,
random,endpoint_median,fold,2.0,regression,MA,MA-ST-RAE,1.0734977387028137,162,,
random,endpoint_median,fold,3.0,regression,MA,MA-ST-RAE,1.112039429779633,200,,
random,endpoint_median,fold,4.0,regression,MA,MA-ST-RAE,1.0223451810294832,170,,
random,endpoint_median,pooled,,regression,MA,MA-ST-RAE,1.0362983400680235,898,,
murcko_scaffold,ecfp4_knn,pooled,,classification,CYP2D6_is_TDI,MCC,0.2183355823307424,177,29.0,17.0
murcko_scaffold,ecfp4_knn,pooled,,classification,CYP3A4_is_TDI,MCC,0.2823735686290729,459,133.0,102.0
murcko_scaffold,ecfp4_knn,pooled,,regression,CYP1A2_pIC50_direct_inhibition,ST-RAE,0.9370817082849269,181,,
murcko_scaffold,ecfp4_knn,pooled,,regression,CYP2C9_pIC50_direct_inhibition,ST-RAE,1.111543320091207,159,,
murcko_scaffold,ecfp4_knn,pooled,,regression,CYP2D6_pIC50_direct_inhibition,ST-RAE,1.0239551817172206,177,,
murcko_scaffold,ecfp4_knn,pooled,,regression,CYP3A4_pIC50_direct_inhibition,ST-RAE,0.9033005015355204,381,,
murcko_scaffold,ecfp4_lightgbm,pooled,,classification,CYP2D6_is_TDI,MCC,0.2033632860608608,177,29.0,22.0
