variant,fold,seed,term,training_sample_n,weighted_loss,encoder_gradient_norm,cosine_to_2D6_classification
independent_std,1,20260829,reportability,256,0.01450595655478537,0.07876245830613889,0.4113499826292828
independent_std,1,20260829,all_except_classification_2D6,256,,0.5818318419926202,0.4385312211805857
paired_no_std,1,20260829,continuous_2D6,256,0.1530812345445156,0.37585028875257703,-0.20977974877201624
paired_no_std,1,20260829,continuous_other,256,0.30064674466848373,0.4789756004489595,-0.11130715645978366
paired_no_std,1,20260829,classification_2D6,256,0.19249961525201797,0.137396583643992,0.9999999999999905
paired_no_std,1,20260829,classification_3A4,256,0.10601587686687708,0.16500843603625814,0.08807879198408283
paired_no_std,1,20260829,reportability,256,0.009950547013431787,0.03882717018492401,-0.004805545242782082
paired_no_std,1,20260829,all_except_classification_2D6,256,,0.7266045165170079,-0.1621405187851667
paired_std,1,20260829,continuous_2D6,256,0.19088809937238693,0.13356331123919982,-0.04722045661164505
paired_std,1,20260829,continuous_other,256,0.5896929055452347,0.5041320827136401,0.5610973205564079
paired_std,1,20260829,classification_2D6,256,0.25120775401592255,0.0805862035157243,1.0000000000000013
paired_std,1,20260829,classification_3A4,256,0.17251295782625675,0.12086709248976138,0.4270836459697764
paired_std,1,20260829,reportability,256,0.018633276224136353,0.05199738580739946,0.021546751908606977
paired_std,1,20260829,all_except_classification_2D6,256,,0.5934165508390185,0.5549238104640931
independent_no_std,2,20260829,continuous_2D6,256,0.19630663096904755,0.1098443695988407,0.1785487286579436
independent_no_std,2,20260829,continuous_other,256,0.7423421666026115,1.9585993369206336,0.1855508312537466
independent_no_std,2,20260829,classification_2D6,256,0.2159365899860859,0.045179464796664286,0.9999999999999888
independent_no_std,2,20260829,classification_3A4,256,0.1770785041153431,0.22836398296849322,0.2730231099723116
independent_no_std,2,20260829,reportability,256,0.01598050375469029,0.058559199797427894,0.05032479378724786
independent_no_std,2,20260829,all_except_classification_2D6,256,,2.197676408360148,0.20400088492790036
independent_std,2,20260829,continuous_2D6,256,0.17026735842227936,0.14241787559673832,0.5133178679593132
independent_std,2,20260829,continuous_other,256,0.665720745921135,1.0624476062871129,0.11352582122987266
independent_std,2,20260829,classification_2D6,256,0.21453749760985374,0.06434856060974901,0.9999999999999972
independent_std,2,20260829,classification_3A4,256,0.1713724285364151,0.18475791757617266,0.1878434342348973
independent_std,2,20260829,reportability,256,0.014005956007167697,0.027917631820615834,0.10172297412722554
independent_std,2,20260829,all_except_classification_2D6,256,,1.2130719300585513,0.19064516936426454
paired_no_std,2,20260829,continuous_2D6,256,0.05096620228141546,0.5831514807180357,-0.013237938210076999
paired_no_std,2,20260829,continuous_other,256,0.1080832201987505,0.7102960718799048,0.0895417242878618
paired_no_std,2,20260829,classification_2D6,256,0.07680717576295137,0.23396527889559698,0.9999999999999931
paired_no_std,2,20260829,classification_3A4,256,0.09540298581123352,0.13608089491833203,-0.0554715144388932
paired_no_std,2,20260829,reportability,256,0.01144361711340025,0.12395361013564563,-0.12307523664520909
paired_no_std,2,20260829,all_except_classification_2D6,256,,0.99686794507148,0.033181103573349774
paired_std,2,20260829,continuous_2D6,256,0.19333484396338463,0.17587622917037773,0.3851432963130218
paired_std,2,20260829,continuous_other,256,0.6892084777355194,0.9351486876758729,0.5447224194369762
paired_std,2,20260829,classification_2D6,256,0.2314010225236416,0.0494717728920099,0.9999999999999929
paired_std,2,20260829,classification_3A4,256,0.17744607105851173,0.20622865323358558,0.3505617631216285
paired_std,2,20260829,reportability,256,0.015334105119109154,0.06149522878501648,0.3377439306785722
paired_std,2,20260829,all_except_classification_2D6,256,,1.188989972734237,0.5636713027615209
independent_no_std,3,20260829,continuous_2D6,256,0.24724096804857254,0.23809542666563802,0.2509637165324687
independent_no_std,3,20260829,continuous_other,256,0.5242445394396782,0.23349600927466962,-0.053561458794873174
independent_no_std,3,20260829,classification_2D6,256,0.3389478772878647,0.05193390605138108,0.9999999999999957
independent_no_std,3,20260829,classification_3A4,256,0.16319707408547401,0.13635299972879486,-0.04630410049461619
